"V1" "V2" "V3" "V4" "V5" "V6" "V7" "V8" "V9" "V10" "V11" "V12" "V13"
"265" "33" "phy" "10" "100" "1e-08" "10" "82" "58" "24" "4" "0.707317073170732" "0.935483870967742" "62"
"266" "33" "tsh" "10" "100" "1e-08" "10" "17" "12" "5" "50" "0.705882352941177" "0.193548387096774" "62"
"267" "34" "phy" "10" "100" "1e-08" "10" "92" "63" "29" "8" "0.684782608695652" "0.887323943661972" "71"
"268" "34" "tsh" "10" "100" "1e-08" "10" "17" "2" "15" "69" "0.117647058823529" "0.028169014084507" "71"
"269" "35" "phy" "10" "100" "1e-08" "10" "77" "51" "26" "28" "0.662337662337662" "0.645569620253165" "79"
"270" "35" "tsh" "10" "100" "1e-08" "10" "16" "6" "10" "73" "0.375" "0.0759493670886076" "79"
"271" "36" "phy" "10" "100" "1e-08" "10" "112" "64" "48" "19" "0.571428571428571" "0.771084337349398" "83"
"272" "36" "tsh" "10" "100" "1e-08" "10" "23" "5" "18" "78" "0.217391304347826" "0.0602409638554217" "83"
"273" "37" "phy" "10" "100" "1e-08" "10" "100" "60" "40" "7" "0.6" "0.895522388059702" "67"
"274" "37" "tsh" "10" "100" "1e-08" "10" "14" "6" "8" "61" "0.428571428571429" "0.0895522388059701" "67"
"275" "38" "phy" "10" "100" "1e-08" "10" "102" "77" "25" "27" "0.754901960784314" "0.740384615384615" "104"
"276" "38" "tsh" "10" "100" "1e-08" "10" "22" "10" "12" "94" "0.454545454545455" "0.0961538461538462" "104"
"277" "39" "phy" "10" "100" "1e-08" "10" "77" "45" "32" "15" "0.584415584415584" "0.75" "60"
"278" "39" "tsh" "10" "100" "1e-08" "10" "8" "4" "4" "56" "0.5" "0.0666666666666667" "60"
"279" "40" "phy" "10" "100" "1e-08" "10" "91" "66" "25" "17" "0.725274725274725" "0.795180722891566" "83"
"280" "40" "tsh" "10" "100" "1e-08" "10" "20" "4" "16" "79" "0.2" "0.0481927710843374" "83"
"281" "41" "phy" "10" "100" "1e-08" "10" "103" "69" "34" "13" "0.669902912621359" "0.841463414634146" "82"
"282" "41" "tsh" "10" "100" "1e-08" "10" "27" "21" "6" "61" "0.777777777777778" "0.25609756097561" "82"
"283" "42" "phy" "10" "100" "1e-08" "10" "111" "75" "36" "15" "0.675675675675676" "0.833333333333333" "90"
"284" "42" "tsh" "10" "100" "1e-08" "10" "14" "8" "6" "82" "0.571428571428571" "0.0888888888888889" "90"
"285" "43" "phy" "10" "100" "1e-08" "10" "168" "74" "94" "6" "0.44047619047619" "0.925" "80"
"286" "43" "tsh" "10" "100" "1e-08" "10" "20" "6" "14" "74" "0.3" "0.075" "80"
"287" "44" "phy" "10" "100" "1e-08" "10" "88" "67" "21" "1" "0.761363636363636" "0.985294117647059" "68"
"288" "44" "tsh" "10" "100" "1e-08" "10" "20" "0" "20" "68" "0" "0" "68"
"289" "45" "phy" "10" "100" "1e-08" "10" "78" "55" "23" "9" "0.705128205128205" "0.859375" "64"
"290" "45" "tsh" "10" "100" "1e-08" "10" "10" "6" "4" "58" "0.6" "0.09375" "64"
"291" "46" "phy" "10" "100" "1e-08" "10" "92" "55" "37" "31" "0.597826086956522" "0.63953488372093" "86"
"292" "46" "tsh" "10" "100" "1e-08" "10" "17" "5" "12" "81" "0.294117647058824" "0.0581395348837209" "86"
"293" "47" "phy" "10" "100" "1e-08" "10" "89" "70" "19" "19" "0.786516853932584" "0.786516853932584" "89"
"294" "47" "tsh" "10" "100" "1e-08" "10" "24" "13" "11" "76" "0.541666666666667" "0.146067415730337" "89"
"295" "48" "phy" "10" "100" "1e-08" "10" "72" "51" "21" "11" "0.708333333333333" "0.82258064516129" "62"
"296" "48" "tsh" "10" "100" "1e-08" "10" "20" "0" "20" "62" "0" "0" "62"
"297" "49" "phy" "10" "100" "1e-08" "10" "135" "81" "54" "5" "0.6" "0.941860465116279" "86"
"298" "49" "tsh" "10" "100" "1e-08" "10" "8" "0" "8" "86" "0" "0" "86"
"299" "50" "phy" "10" "100" "1e-08" "10" "136" "93" "43" "2" "0.683823529411765" "0.978947368421053" "95"
"300" "50" "tsh" "10" "100" "1e-08" "10" "20" "14" "6" "81" "0.7" "0.147368421052632" "95"
"301" "51" "phy" "10" "100" "1e-08" "10" "88" "55" "33" "7" "0.625" "0.887096774193548" "62"
"302" "51" "tsh" "10" "100" "1e-08" "10" "14" "2" "12" "60" "0.142857142857143" "0.032258064516129" "62"
"303" "52" "phy" "10" "100" "1e-08" "10" "131" "95" "36" "6" "0.725190839694656" "0.940594059405941" "101"
"304" "52" "tsh" "10" "100" "1e-08" "10" "28" "14" "14" "87" "0.5" "0.138613861386139" "101"
"305" "53" "phy" "10" "100" "1e-08" "10" "78" "55" "23" "20" "0.705128205128205" "0.733333333333333" "75"
"306" "53" "tsh" "10" "100" "1e-08" "10" "7" "2" "5" "73" "0.285714285714286" "0.0266666666666667" "75"
"307" "54" "phy" "10" "100" "1e-08" "10" "162" "81" "81" "23" "0.5" "0.778846153846154" "104"
"308" "54" "tsh" "10" "100" "1e-08" "10" "15" "8" "7" "96" "0.533333333333333" "0.0769230769230769" "104"
"309" "55" "phy" "10" "100" "1e-08" "10" "76" "46" "30" "9" "0.605263157894737" "0.836363636363636" "55"
"310" "55" "tsh" "10" "100" "1e-08" "10" "16" "1" "15" "54" "0.0625" "0.0181818181818182" "55"
"311" "56" "phy" "10" "100" "1e-08" "10" "83" "57" "26" "23" "0.686746987951807" "0.7125" "80"
"312" "56" "tsh" "10" "100" "1e-08" "10" "6" "0" "6" "80" "0" "0" "80"
"313" "57" "phy" "10" "100" "1e-08" "10" "115" "64" "51" "9" "0.556521739130435" "0.876712328767123" "73"
"314" "57" "tsh" "10" "100" "1e-08" "10" "6" "2" "4" "71" "0.333333333333333" "0.0273972602739726" "73"
"315" "58" "phy" "10" "100" "1e-08" "10" "134" "85" "49" "7" "0.634328358208955" "0.923913043478261" "92"
"316" "58" "tsh" "10" "100" "1e-08" "10" "11" "7" "4" "85" "0.636363636363636" "0.0760869565217391" "92"
"317" "59" "phy" "10" "100" "1e-08" "10" "101" "53" "48" "4" "0.524752475247525" "0.929824561403509" "57"
"318" "59" "tsh" "10" "100" "1e-08" "10" "15" "3" "12" "54" "0.2" "0.0526315789473684" "57"
"319" "60" "phy" "10" "100" "1e-08" "10" "156" "77" "79" "9" "0.493589743589744" "0.895348837209302" "86"
"320" "60" "tsh" "10" "100" "1e-08" "10" "21" "9" "12" "77" "0.428571428571429" "0.104651162790698" "86"
"321" "61" "phy" "10" "100" "1e-08" "10" "79" "63" "16" "11" "0.79746835443038" "0.851351351351351" "74"
"322" "61" "tsh" "10" "100" "1e-08" "10" "11" "5" "6" "69" "0.454545454545455" "0.0675675675675676" "74"
"323" "62" "phy" "10" "100" "1e-08" "10" "112" "62" "50" "8" "0.553571428571429" "0.885714285714286" "70"
"324" "62" "tsh" "10" "100" "1e-08" "10" "16" "4" "12" "66" "0.25" "0.0571428571428571" "70"
"325" "63" "phy" "10" "100" "1e-08" "10" "137" "74" "63" "17" "0.54014598540146" "0.813186813186813" "91"
"326" "63" "tsh" "10" "100" "1e-08" "10" "29" "7" "22" "84" "0.241379310344828" "0.0769230769230769" "91"
"327" "64" "phy" "10" "100" "1e-08" "10" "106" "52" "54" "15" "0.490566037735849" "0.776119402985075" "67"
"328" "64" "tsh" "10" "100" "1e-08" "10" "19" "10" "9" "57" "0.526315789473684" "0.149253731343284" "67"
"329" "65" "phy" "10" "100" "1e-08" "10" "170" "64" "106" "17" "0.376470588235294" "0.790123456790123" "81"
"330" "65" "tsh" "10" "100" "1e-08" "10" "16" "9" "7" "72" "0.5625" "0.111111111111111" "81"
"331" "66" "phy" "10" "100" "1e-08" "10" "124" "59" "65" "13" "0.475806451612903" "0.819444444444444" "72"
"332" "66" "tsh" "10" "100" "1e-08" "10" "10" "0" "10" "72" "0" "0" "72"
"333" "67" "phy" "10" "100" "1e-08" "10" "84" "56" "28" "19" "0.666666666666667" "0.746666666666667" "75"
"334" "67" "tsh" "10" "100" "1e-08" "10" "17" "9" "8" "66" "0.529411764705882" "0.12" "75"
"335" "68" "phy" "10" "100" "1e-08" "10" "99" "71" "28" "11" "0.717171717171717" "0.865853658536585" "82"
"336" "68" "tsh" "10" "100" "1e-08" "10" "14" "5" "9" "77" "0.357142857142857" "0.0609756097560976" "82"
"337" "69" "phy" "10" "100" "1e-08" "10" "113" "67" "46" "5" "0.592920353982301" "0.930555555555556" "72"
"338" "69" "tsh" "10" "100" "1e-08" "10" "22" "10" "12" "62" "0.454545454545455" "0.138888888888889" "72"
"339" "70" "phy" "10" "100" "1e-08" "10" "97" "61" "36" "13" "0.628865979381443" "0.824324324324324" "74"
"340" "70" "tsh" "10" "100" "1e-08" "10" "24" "10" "14" "64" "0.416666666666667" "0.135135135135135" "74"
"341" "71" "phy" "10" "100" "1e-08" "10" "86" "73" "13" "19" "0.848837209302326" "0.793478260869565" "92"
"342" "71" "tsh" "10" "100" "1e-08" "10" "12" "4" "8" "88" "0.333333333333333" "0.0434782608695652" "92"
"343" "72" "phy" "10" "100" "1e-08" "10" "41" "38" "3" "8" "0.926829268292683" "0.826086956521739" "46"
"344" "72" "tsh" "10" "100" "1e-08" "10" "15" "4" "11" "42" "0.266666666666667" "0.0869565217391304" "46"
"345" "73" "phy" "10" "100" "1e-08" "10" "130" "67" "63" "31" "0.515384615384615" "0.683673469387755" "98"
"346" "73" "tsh" "10" "100" "1e-08" "10" "9" "1" "8" "97" "0.111111111111111" "0.0102040816326531" "98"
"347" "74" "phy" "10" "100" "1e-08" "10" "119" "71" "48" "21" "0.596638655462185" "0.771739130434783" "92"
"348" "74" "tsh" "10" "100" "1e-08" "10" "19" "6" "13" "86" "0.315789473684211" "0.0652173913043478" "92"
"349" "75" "phy" "10" "100" "1e-08" "10" "124" "82" "42" "12" "0.661290322580645" "0.872340425531915" "94"
"350" "75" "tsh" "10" "100" "1e-08" "10" "22" "18" "4" "76" "0.818181818181818" "0.191489361702128" "94"
"351" "76" "phy" "10" "100" "1e-08" "10" "132" "79" "53" "11" "0.598484848484849" "0.877777777777778" "90"
"352" "76" "tsh" "10" "100" "1e-08" "10" "11" "1" "10" "89" "0.0909090909090909" "0.0111111111111111" "90"
"353" "77" "phy" "10" "100" "1e-08" "10" "74" "54" "20" "32" "0.72972972972973" "0.627906976744186" "86"
"354" "77" "tsh" "10" "100" "1e-08" "10" "4" "1" "3" "85" "0.25" "0.0116279069767442" "86"
"355" "78" "phy" "10" "100" "1e-08" "10" "127" "53" "74" "10" "0.417322834645669" "0.841269841269841" "63"
"356" "78" "tsh" "10" "100" "1e-08" "10" "11" "3" "8" "60" "0.272727272727273" "0.0476190476190476" "63"
"357" "79" "phy" "10" "100" "1e-08" "10" "80" "44" "36" "6" "0.55" "0.88" "50"
"358" "79" "tsh" "10" "100" "1e-08" "10" "14" "0" "14" "50" "0" "0" "50"
"359" "80" "phy" "10" "100" "1e-08" "10" "118" "58" "60" "8" "0.491525423728814" "0.878787878787879" "66"
"360" "80" "tsh" "10" "100" "1e-08" "10" "24" "5" "19" "61" "0.208333333333333" "0.0757575757575758" "66"
"361" "81" "phy" "10" "100" "1e-08" "10" "70" "48" "22" "14" "0.685714285714286" "0.774193548387097" "62"
"362" "81" "tsh" "10" "100" "1e-08" "10" "13" "9" "4" "53" "0.692307692307692" "0.145161290322581" "62"
"363" "82" "phy" "10" "100" "1e-08" "10" "98" "70" "28" "19" "0.714285714285714" "0.786516853932584" "89"
"364" "82" "tsh" "10" "100" "1e-08" "10" "10" "0" "10" "89" "0" "0" "89"
"365" "83" "phy" "10" "100" "1e-08" "10" "73" "53" "20" "13" "0.726027397260274" "0.803030303030303" "66"
"366" "83" "tsh" "10" "100" "1e-08" "10" "9" "0" "9" "66" "0" "0" "66"
"367" "84" "phy" "10" "100" "1e-08" "10" "95" "67" "28" "30" "0.705263157894737" "0.690721649484536" "97"
"368" "84" "tsh" "10" "100" "1e-08" "10" "19" "13" "6" "84" "0.684210526315789" "0.134020618556701" "97"
"369" "85" "phy" "10" "100" "1e-08" "10" "93" "74" "19" "0" "0.795698924731183" "1" "74"
"370" "85" "tsh" "10" "100" "1e-08" "10" "30" "18" "12" "56" "0.6" "0.243243243243243" "74"
"371" "86" "phy" "10" "100" "1e-08" "10" "62" "42" "20" "22" "0.67741935483871" "0.65625" "64"
"372" "86" "tsh" "10" "100" "1e-08" "10" "18" "1" "17" "63" "0.0555555555555556" "0.015625" "64"
"373" "87" "phy" "10" "100" "1e-08" "10" "174" "89" "85" "19" "0.511494252873563" "0.824074074074074" "108"
"374" "87" "tsh" "10" "100" "1e-08" "10" "26" "11" "15" "97" "0.423076923076923" "0.101851851851852" "108"
"375" "88" "phy" "10" "100" "1e-08" "10" "109" "62" "47" "11" "0.568807339449541" "0.849315068493151" "73"
"376" "88" "tsh" "10" "100" "1e-08" "10" "27" "11" "16" "62" "0.407407407407407" "0.150684931506849" "73"
"377" "89" "phy" "10" "100" "1e-08" "10" "95" "54" "41" "16" "0.568421052631579" "0.771428571428571" "70"
"378" "89" "tsh" "10" "100" "1e-08" "10" "24" "0" "24" "70" "0" "0" "70"
"379" "90" "phy" "10" "100" "1e-08" "10" "88" "63" "25" "12" "0.715909090909091" "0.84" "75"
"380" "90" "tsh" "10" "100" "1e-08" "10" "26" "19" "7" "56" "0.730769230769231" "0.253333333333333" "75"
"381" "91" "phy" "10" "100" "1e-08" "10" "102" "71" "31" "29" "0.696078431372549" "0.71" "100"
"382" "91" "tsh" "10" "100" "1e-08" "10" "6" "1" "5" "99" "0.166666666666667" "0.01" "100"
"383" "92" "phy" "10" "100" "1e-08" "10" "102" "82" "20" "31" "0.803921568627451" "0.725663716814159" "113"
"384" "92" "tsh" "10" "100" "1e-08" "10" "28" "9" "19" "104" "0.321428571428571" "0.079646017699115" "113"
"385" "93" "phy" "10" "100" "1e-08" "10" "150" "76" "74" "7" "0.506666666666667" "0.91566265060241" "83"
"386" "93" "tsh" "10" "100" "1e-08" "10" "19" "8" "11" "75" "0.421052631578947" "0.0963855421686747" "83"
"387" "94" "phy" "10" "100" "1e-08" "10" "78" "55" "23" "20" "0.705128205128205" "0.733333333333333" "75"
"388" "94" "tsh" "10" "100" "1e-08" "10" "18" "4" "14" "71" "0.222222222222222" "0.0533333333333333" "75"
"389" "95" "phy" "10" "100" "1e-08" "10" "159" "80" "79" "1" "0.50314465408805" "0.987654320987654" "81"
